Mountain,Sentence
Nuptse,"The main peak, Nuptse I at an elevation of 7,861 m (25,791 ft), was first climbed on May 16, 1961 by Dennis Davis and Sherpa Tashi"
Khunyang Chhish,"Climbing history
The first climbing attempt on Khunyang Chhish was made in 1962 but the climb was aborted after an avalanche on 18 July killed two climbers, Major James Mills and Captain M"
Nanda Devi,) Nanda Devi is the 23rd-highest peak in the world
Chomo Lonzo,"Climbing History
On October 30, 1954 the French climbers Jean Couzy and Lionel Terray made the first ascent of the main summit via the gently sloping SW ridge from the 7200m Sakietang La that separates Chomo Lonzo from Makalu"
Batura Sar,"Location
Batura Sar and the Batura Wall lie near the middle of the Batura Muztagh between Shindar shander valley Nagar and Gojal Hunza, which is the only part of the Karakoram which is west of the Hunza-Nagar River"
Kanjut Sar,"According to many residents of Shimshal, Kanjut Sar is the name of the adjacent peak Yukshin Gardan Sar, and vice versa"
Rakaposhi,"Geography
Rakaposhi is a mountain in the Karakoram mountain range in the Gilgit-Baltistan territory, about 100 km (62 mi) north of the city of Gilgit"
Namcha Barwa,"It is the highest peak in the 180 km long Namcha Barwa Himal range (also called the Namjagbarwa syntaxis or Namjagbarwa Group Complex), which is considered the easternmost syntaxis/section of the Himalaya in southeastern Tibet and northeastern India where the Himalaya are said to end, although high ranges (Hengduan Mountains on the China–Myanmar border) actually continue another 300 km to the east"
Batura II,"Location
Batura II lies in the Batura Muztagh, which is a part of the Karakoram range, lying west of the Hunza River"
Kamet,"Climbing
Due to its position near the Tibetan Plateau, Kamet is very remote and not as accessible as some Himalayan peaks"
Saltoro Kangri,"The term ""Saltoro Kangri"" typically encompasses both of its twin peaks, Saltoro Kangri I (located to the south) and Saltoro Kangri II, which are connected by a saddle"
Batura III,"Location
Batura III lies in the Batura Muztagh, which is a part of the Karakoram range, lying west of the Hunza River"
Jannu,Mount Kumbhakarna  or Jannu (Limbu: Phoktanglungma) is the 32nd-highest mountain in the world
Tirich Mir,"Berg, and Tony Streather, depicted in the documentary film Tirich Mir til topps"
Molamenqing,"References
Further reading
Warwick Anderson, To the Untouched Mountain: the New Zealand Conquest of Molamenqing, Reed, 1983"
Gurla Mandhata,"Names
Gurla Mandhata is a romanization of the Hindi name गुरला मन्धाता"
Saser Kangri,"Climbing history
Early exploration and climbing attempts of Saser Kangri occurred on the western side, from the Nubra Valley; this is lower, more populated, and hence more easily accessible than the eastern side, which faces the Tibetan Plateau"
Chogolisa,"In 1909, a party led by Duke of the Abruzzi reached 7,498 m (24,600 ft) from a base camp located on the northern side and a high camp on the Chogolisa saddle at 6,335 m"
Kongur Tagh,"Geography
Kongur Tagh is within a range called the Kongur Shan (Chinese: 公格尔山; pinyin: Gōnggé'ěr Shān"
Shispare,"Alternate forms of the name of this peak include Shispare Sar, Shisparé Sari ""Fiak Ting"" فیاک ٹنگ or Tegh Sar تیغ سر (which means means Sharp Head in the local Wakhi Language)"
Silberzacken,"Location and layout
Silberzacken is located on a ridge in Himalayan Range, south of the Indus River in the Diamer District of Gilgit–Baltistan in Pakistan"
Changtse,The Changtse Glacier flows north into the East Rongbuk Glacier
Gangkhar Puensum,"History
The elevation of Gangkhar Puensum was first measured in 1922 but, until recent years, maps of the region were not at all accurate and the mountain was shown in different locations and with markedly different heights"
Gongga Shan,"American Lance Owens was the first foreigner to receive permission from the People's Republic of China to lead a mountaineering expedition in China and Tibet, allowing him to climb Gongga Shan (Minya Konka) in 1980"
Annapurna III,"Several teams had attempted to summit Annapurna III via the southeast ridge, with all efforts prior to 2021 ending in failure"
Kula Kangri,"Chinese and Japanese authorities claim nearby Gangkhar Puensum is higher, and the claim that Kula Kangri is in or on the border with Bhutan is challenged"
Skyang Kangri,"Geology
As can be determined from limited exposures, the summit, northern, and northeast slopes of Skyang Kangri consist predominately of limestones of the Shaksgam formation that are largely covered by ice"
Liankang Kangri,"Liangkang Kangri (also known as Gangkhar Puensum North and Liankang Kangri) is a mountain peak in the Himalayas on the border between Bhutan and China, as well as at the southeastern end of territory claimed by both countries"
Yukshin Gardan Sar,"According to many residents of Shimshal, Yukshin Gardan Sar is the name of the adjacent peak Kanjut Sar, and vice versa"
Annapurna IV,"Features
Despite its low prominence, Annapurna IV is an important peak relative to its immediate neighbors"
Saser Kangri II,"^ Saser Kangri II West, Saser Kangri IV and Plateau Peak lack sufficient prominence to be included or ranked in most lists of highest mountains"
Mamostong Kangri,"The South Chong Kumdan, Kichik Kumdan (Thangman Kangri), Mamostong, and South Terong Glaciers all head on the slopes of Mamostong Kangri"
Muztagh Ata,"Location
Muztagh Ata lies just south of Kongur Tagh, the highest peak of this somewhat isolated range that is separated from the main chain of the Kunlun by the large Yarkand River valley, and thus generally included in the ""Eastern Pamirs"""
Ismoil Somoni Peak,"""Ismoil Somoni Peak"""
Noshaq,Easiest access to Noshaq is from Wakhan Afghanistan
Pumari Chhish,They first had to cross a significant col to access the upper Yazghil Glacier; they then ascended the north ridge of Pumari Chhish
Passu Sar,The date of the first successful ascent of Passu Sar is disputed
Malubiting,"Location
Malubiting is situated at the core of the Haramosh Group of Mountains, which tower over the northern bank of the Indus River"
Gangapurna,"Geography
Gangapurna is located at the border of Annapurna Rural Municipality, Kaski and Nesyang Rural Municipality, Manang in Gandaki Province at 7,455 metres (24,459 ft) above sea level and its prominence is 563 metres (1,847 ft)"
Jengish Chokusu,"Names
The mountain's official name in Kyrgyz is Jengish Chokusu, which means ""Victory Peak""; its Russian name is Pik Pobedy (or Pobeda Peak), with the same meaning"
Sia Kangri,"About a kilometer southeast of the Sia Kangri summit is the  tri point  where territories controlled by India, Pakistan and China meet"
Istor-o-Nal,"Because Istor-o-Nal is behind the higher peak of Tirich Mir from many viewpoints, it is not easily visible and therefore not well known"
Haramosh Peak,The Haramosh massif consists of two main summits: Haramosh Peak and Haramosh Kutwal Laila Peak
Kabru,"It is confusingly referred to by some authorities as ""Kabru IV"", but it is not clear that this is correct, or that any ""Kabru"" name is correctly applied to this summit"
Ultar,"Notable features and climbing history
While not one of the highest peaks of the Karakoram, Ultar Sar is notable for its dramatic rise above local terrain"
Rimo I,"In addition to Rimo I, they are:

Rimo II is a minor subpeak located about 150 m (490 ft) northeast of Rimo I, on its north ridge"
Churen Himal,"References
External links
Churen Himal at Nepal Himal Peak Profile"
Skil Brum,"In 1957, Marcus Schmuck and Fritz Wintersteller made a flash first ascent of Skil Brum, in pure Alpine style"
Abi Gamin,"In 1855, the Schlagintweit brothers named this range as Western, Central and Eastern Abi Gamin"
Gimmigela Chuli,"The mountain has a subpeak, Gimmigela Chuli II 7,005 m (22,982 ft) metres; prominence is at 185 m (607 ft)"
Saraghrar,"The entire Saraghrar massif is a huge, irregular stretched plateau at elevation around 7,000 m (22,966 ft), lying above vertical granite and ice faces, which protect it all around"
Baltoro Kangri,The huge Baltoro Glacier (which is one of the largest glaciers outside polar regions) rises from the foot of Baltoro Kangri
Summa Ri,"Location
Summa Ri I has a height of 7,286 m (23,904 ft) and at a prominence of 246 m (807 ft)"
Gyala Peri,"Notable features
Gyala Peri has great vertical relief above the Tsangpo gorge and is the highest peak of the Nyenchen Tanglha Shan"
Porong Ri,"References
External links
Porong Ri on Peakery"
Baintha Brakk,"Location
Baintha Brakk rises above the north side of the Biafo Glacier, one of the major glaciers of the central Karakoram"
Mana Peak,There are two known approaches to Mana Peak: one is the eastern approach through East Kamet glacier and the other is the southern approach through Nagthuni and Banke Kund glacier
